id,year,dest,tonn,cashflow,discounted,z
50547,1,2,16380.0,-12285.0,-12285.0,16
51415,1,2,16380.0,-12285.0,-12285.0,16
51432,1,2,16380.0,-12285.0,-12285.0,16
51449,1,2,16380.0,-12285.0,-12285.0,16
52275,1,2,16380.0,-12285.0,-12285.0,16
52292,1,2,16380.0,-12285.0,-12285.0,16
52309,1,2,16380.0,-12285.0,-12285.0,16
52326,1,2,16380.0,-12285.0,-12285.0,16
52343,1,2,16380.0,-12285.0,-12285.0,16
52360,1,2,16380.0,-12285.0,-12285.0,16
53151,1,2,16380.0,-12285.0,-12285.0,16
53168,1,2,16380.0,-12285.0,-12285.0,16
53185,1,2,16380.0,-12285.0,-12285.0,16
53202,1,2,16380.0,-12285.0,-12285.0,16
53219,1,2,16380.0,-12285.0,-12285.0,16
53236,1,2,16380.0,-12285.0,-12285.0,16
53253,1,2,16380.0,-12285.0,-12285.0,16
53270,1,2,16380.0,-12285.0,-12285.0,16
47877,1,2,16380.0,-12285.0,-12285.0,15
48744,1,2,16380.0,-12285.0,-12285.0,15
48760,1,2,16380.0,-12285.0,-12285.0,15
49618,1,2,16380.0,-12285.0,-12285.0,15
50482,1,2,16380.0,-12285.0,-12285.0,15
53102,1,2,16380.0,-12285.0,-12285.0,15
53118,1,2,16380.0,-12285.0,-12285.0,15
49634,1,2,16380.0,-12285.0,-12285.0,15
49650,1,2,16380.0,-12285.0,-12285.0,15
50498,1,2,16380.0,-12285.0,-12285.0,15
50514,1,2,16380.0,-12285.0,-12285.0,15
50530,1,2,16380.0,-12285.0,-12285.0,15
50546,1,2,16380.0,-12285.0,-12285.0,15
51366,1,2,16380.0,-12285.0,-12285.0,15
51382,1,2,16380.0,-12285.0,-12285.0,15
51398,1,2,16380.0,-12285.0,-12285.0,15
51414,1,2,16380.0,-12285.0,-12285.0,15
51431,1,2,16380.0,-12285.0,-12285.0,15
51448,1,2,16380.0,-12285.0,-12285.0,15
52226,1,2,16380.0,-12285.0,-12285.0,15
53134,1,2,16380.0,-12285.0,-12285.0,15
52242,1,2,16380.0,-12285.0,-12285.0,15
53150,1,2,16380.0,-12285.0,-12285.0,15
52258,1,2,16380.0,-12285.0,-12285.0,15
53167,1,2,16380.0,-12285.0,-12285.0,15
52274,1,2,16380.0,-12285.0,-12285.0,15
53184,1,2,16380.0,-12285.0,-12285.0,15
52291,1,2,16380.0,-12285.0,-12285.0,15
53201,1,2,16380.0,-12285.0,-12285.0,15
52308,1,2,16380.0,-12285.0,-12285.0,15
53218,1,2,16380.0,-12285.0,-12285.0,15
52325,1,2,16380.0,-12285.0,-12285.0,15
53235,1,2,16380.0,-12285.0,-12285.0,15
52342,1,2,16380.0,-12285.0,-12285.0,15
52359,1,2,16380.0,-12285.0,-12285.0,15
53252,1,2,16380.0,-12285.0,-12285.0,15
53269,1,2,16380.0,-12285.0,-12285.0,15
19261,1,1,16380.0,154846.3675,154846.3675,14
19276,1,1,16380.0,152157.8121,152157.8121,14
20163,1,1,16380.0,136336.2976,136336.2976,14
18372,1,1,16380.0,134478.9768,134478.9768,14
21044,1,1,16380.0,133126.4194,133126.4194,14
18387,1,1,16380.0,121128.54380000001,121128.54380000001,14
20208,1,1,16380.0,120662.7537,120662.7537,14
20193,1,1,16380.0,120192.1256,120192.1256,14
21950,1,1,16380.0,109020.3891,109020.3891,14
21074,1,1,16380.0,106476.3022,106476.3022,14
21029,1,1,16380.0,104077.9365,104077.9365,14
20178,1,1,16380.0,101486.1836,101486.1836,14
21920,1,1,16380.0,99411.3447,99411.3447,14
19306,1,1,16380.0,99134.4466,99134.4466,14
20148,1,1,16380.0,98019.531,98019.531,14
22802,1,1,16380.0,97241.1055,97241.1055,14
22817,1,1,16380.0,97043.7118,97043.7118,14
23665,1,1,16380.0,95089.0471,95089.0471,14
19291,1,1,16380.0,94065.7872,94065.7872,14
17482,1,1,16380.0,91669.735,91669.735,14
21089,1,1,16380.0,88976.358,88976.358,14
23680,1,1,16380.0,88373.3123,88373.3123,14
21935,1,1,16380.0,88365.3638,88365.3638,14
17497,1,1,16380.0,86322.58269,86322.58269,14
17452,1,1,16380.0,83227.81765,83227.81765,14
21965,1,1,16380.0,82358.35667,82358.35667,14
16561,1,1,16380.0,77843.1575,77843.1575,14
23695,1,1,16380.0,76316.02784,76316.02784,14
21059,1,1,16380.0,72171.70303,72171.70303,14
19231,1,1,16380.0,71786.46007,71786.46007,14
21905,1,1,16380.0,71583.718,71583.718,14
